City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Kodiak,US,57.79,-152.41,62.6,63,20,14.99
237,Chumikan,RU,54.72,135.31,58.26,61,100,2.48
238,Kihei,US,20.79,-156.47,89.6,43,40,29.97
239,Hay River,CA,60.82,-115.8,55.4,58,40,3.36
240,Neiafu,TO,-18.65,-173.98,80.6,74,75,16.11
241,Kawardha,IN,22.02,81.25,76.57,86,52,0.92
242,Airai,TL,-8.93,125.41,71.74,60,0,7.23
243,Linqiong,CN,30.42,103.46,75.0,100,40,2.28
244,Porto De Moz,BR,-1.75,-52.24,73.74,93,98,4.09
245,Carquefou,FR,47.3,-1.49,52.0,93,0,4.7
246,Hastings,GB,50.86,0.57,53.01,82,100,1.01
247,Bethel,US,41.37,-73.41,64.0,77,1,3.36
248,Grand Gaube,MU,-20.01,57.66,72.0,75,42,11.99
249,Coihaique,CL,-45.58,-72.07,39.2,86,100,3.36
250,Monkey Hill,KN,17.32,-62.72,82.4,83,95,19.46
251,Puerto Baquerizo Moreno,EC,-0.9,-89.6,64.47,84,85,11.43
252,Avarua,CK,-21.21,-159.78,75.2,73,5,8.05
253,Bathsheba,BB,13.22,-59.52,80.6,83,20,6.93
254,Kirkby,GB,53.48,-2.9,50.0,87,0,4.7
255,Mount Gambier,AU,-37.83,140.77,50.0,71,75,3.36
256,Wanning,CN,18.8,110.4,83.98,70,29,3.27
257,Alice Springs,AU,-23.7,133.88,66.2,37,0,11.41
258,Kasongo-Lunda,CD,-6.47,16.82,77.85,68,98,1.92
259,Muros,ES,42.78,-9.06,55.99,77,80,1.01
260,Maryborough,AU,-25.53,152.7,76.8,41,0,2.15
261,Dhidhdhoo,MV,6.88,73.1,82.31,74,100,10.11
262,Cayenne,GF,4.93,-52.33,80.6,83,88,3.36
263,Touros,BR,-5.2,-35.46,75.2,83,40,8.05
264,Flin Flon,CA,54.77,-101.86,51.98,71,94,10.96
265,Mareeba,AU,-17.0,145.43,77.0,68,48,5.99
