City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
381,Balabac,PH,85.48,7.99,117.06,Sing and Swing Lodge
384,Barabai,ID,84.83,-2.58,115.38,Joko Homestay
386,Akim Swedru,GH,71.55,5.89,-1.02,Green Pearls Inn
387,Padang,ID,78.8,-0.95,100.35,Mercure Padang
394,Camacha,PT,71.6,33.08,-16.33,Hotel Porto Santo & Spa
395,Pirajui,BR,80.6,-22,-49.46,Pirajuí Plaza Hotel
403,Cravo Norte,CO,76.91,6.3,-70.2,Hotel El Puerto
404,Bakel,SN,80.44,14.9,-12.46,Hôtel islam
405,Kavieng,PG,86.13,-2.57,150.8,Nusa Island Retreat
408,Jardim,BR,75.51,-21.48,-56.14,Hotel Estância
412,Sundargarh,IN,80.6,22.12,84.03,Sankara City
413,Havelock,US,80.01,34.88,-76.9,Sherwood Motel
414,Alirajpur,IN,74.75,22.3,74.35,YS Pawar Villa
415,Magallanes,PH,83.97,9.02,125.52,Chloe's Beach
416,Port Macquarie,AU,78.01,-31.43,152.92,Rydges Port Macquarie
418,Mayo,US,75.99,38.89,-76.51,Resorts Resource Group International
419,Sao Miguel Do Araguaia,BR,78.22,-13.28,-50.16,Hotel Executivo Palace
420,Tha Chang,TH,80.6,9.26,99.19,สุริยาค้าไม้
421,Port-Gentil,GA,75.34,-0.72,8.78,Fengshui Residence
425,Choix,MX,84.87,26.71,-108.32,Hotel Montesclaros
427,Gunjur,GM,80.6,13.2,-16.73,Kuba Lodge
428,Mackay,AU,73.4,-21.15,149.2,International Lodge Motel
430,Sao Joao Da Barra,BR,73.29,-21.64,-41.05,Pousada Porto De Canoas
432,Puri,IN,82.4,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
434,Dhuburi,IN,82.58,26.03,89.97,Samrat Hotel and Lodge
437,Banjar,ID,80.6,-8.19,114.97,The Hamsa Resort
438,Tukrah,LY,74.43,32.53,20.58,استراحة لاقروتا
441,Isangel,VU,75.2,-19.55,169.27,Volcano Sea View Tree House
444,Tenkodogo,BF,74.7,11.78,-0.37,Hôtel Tiéba
446,Carutapera,BR,78.46,-1.2,-46.02,Lidera
449,Namatanai,PG,86.2,-3.67,152.43,Namatanai Hotel
450,Porto Novo,BJ,77,6.5,2.6,Tour Eiffel Hotel Benin
452,Sola,VU,79.83,-13.88,167.55,Leumerus Bungalows
453,Areia Branca,BR,77.14,-4.96,-37.14,Areia Branca Apart Hotel
455,San Felipe,VE,72.91,10.34,-68.74,Posada Llovizna Rodríguez
456,Seoul,KR,80.6,37.57,126.98,LOTTE HOTEL SEOUL
458,Niamey,NE,77,13.51,2.11,Soluxe Hotel Niamey
460,Kano,NG,73.4,12,8.52,La Sultana Hotel
461,Tautira,PF,82.4,-17.73,-149.15,Pension Oaoa
463,Jatibonico,CU,77.5,21.94,-79.17,"Hostel ""Los Tomasos"""
464,Praya,CV,78.8,14.92,-23.51,LT Aparthotel
465,Akyab,MM,81.54,20.15,92.9,Hotel Memory
470,Las Cruces,US,86,32.31,-106.78,SpringHill Suites by Marriott Las Cruces
471,Tezu,IN,79.83,27.92,96.17,Circuit House
473,Acapulco,MX,82.4,16.86,-99.89,HS Hotsson Smart Acapulco
474,Kununurra,AU,89.6,-15.77,128.73,Hotel Kununurra
475,Chenzhou,CN,82.8,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
478,Tevaitoa,PF,78.22,-16.78,-151.5,Hôtel Raiatea Lodge
481,Longyan,CN,83.43,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
482,Sao Felix Do Xingu,BR,80.98,-6.64,-51.99,Apart Hotel Rio Xingu
488,Saint-Georges,GD,80.6,12.06,-61.75,Siesta Hotel
490,Garissa,KE,72.41,-0.45,39.64,Sharif Plaza Hotel
492,Champerico,GT,84.2,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
493,Novyy Yarychiv,UA,71.6,49.9,24.31,Cottage Recreation Complex
494,Galle,LK,80.26,6.04,80.22,Amangalla
498,Caravelas,BR,70.5,-17.71,-39.25,Pousada dos Navegantes
499,Buraydah,SA,86,26.33,43.98,Mövenpick Hotel Qassim
506,Quballat,TN,78.8,36.54,9.66,Firma Ben Ammar
507,Poso,ID,86.05,-1.4,120.75,Hotel 77 Poso
508,San Juan Del Sur,NI,79.63,11.25,-85.87,Nuestra Casa
509,Lachi,PK,80.96,33.38,71.34,Stil sadabahar
510,Jinzhou,CN,78.73,41.11,121.14,Sheraton Jinzhou Hotel
